RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
533,Blake Walston,ARI,NL, LHP,Pitcher,18.9,Drafted 26th overall; Walston is a projectable 64ù; 175 pounds with a low 90s fastball; two potentially plus breaking balls and a developing change.,2023,,,,,,,,,,,,,,,,,,,,,12,3.71,1.24,184,0,176
534,Matt Allan,NYM,NL, RHP,Pitcher,18.11,Drafted 89th overall; but received the 2nd highest bonus for a high school pitcher. Allen is physically mature at 63ù; 225 pounds with a mid 90s fastball and a plus; high spin rate curveball.,2023,,,,,,,,,,,,,,,,,,,,,12,3.72,1.29,183,0,176
535,Ryan OHearn,KC,AL, 1B,Batter,26.8,Batting average bottomed out to .195 in 2019; but the underlying power; patience; and strikeout profile remains unchanged.,,59,21,64,0.244,0.325,0.448,0,,,,,,,,,,,,,,,,,,,
536,Rich Hill,MIN,NL, LHP,Pitcher,40.1,Underwent primary revision surgery to repair a torn UCL; which isnt as serious as Tommy John surgery; but is still likely to hold him out for at least a couple months into 2020. He also gotarrested for defending the honor of his wifes fanny pack.,,,,,,,,,5,3.75,1.18,91,0,80,,,,,,,,,,,,,
537,Johan Camargo,ATL,NL, SS,Batter,26.3,Super utility player with a line drive approach and good feel to hit. 3B job is currently up for grabs.,,58,14,62,0.264,0.329,0.431,1,,,,,,,,,,,,,,,,,,,
538,JaCoby Jones,DET,AL, OF,Batter,28.1,Plus power/speed combo (11 homers and 7 steals in 88 games) with a low average (.235) and high strikeout rate (28.2%). He has a path to playing time; and the skills are fantasy friendly.,,75,19,66,0.242,0.317,0.435,11,,,,,,,,,,,,,,,,,,,
539,Tristen Lutz,MIL,NL, OF,Batter,21.7,Continued to post solid numbers while being young for his level; slashing .255/.335/.419 with 13 homers and a 137/46 K/BB in 112 games at High-A. Strikeout rates are high but he has double plus raw power and doesnt sell out for homers.,2022,,,,,,,,,,,,,,74,25,82,0.263,0.34,0.473,6,,,,,,
540, Jhon Diaz,TB,AL, OF,Batter,17.6,Signed for $1.5 million; Diaz makes hard contact with a quick bad to go along with an advanced plate approach and plus speed.,2025,,,,,,,,,,,,,,80,19,76,0.272,0.345,0.439,20,,,,,,
541,Gabriel Rodriguez,CLE,AL, SS,Batter,18.1,Highly touted international prospect in 2018 who showed a good feel to hit and advanced approach; but doesnt have big power or speed.,2023,,,,,,,,,,,,,,86,22,78,0.277,0.351,0.452,9,,,,,,
542,Luis Frias,ARI,NL, RHP,Pitcher,21.1,Mid 90s fastball with a plus curveball and potentially plus splitter. Control/command needs work but the upside is high if it all comes together.,2021,,,,,,,,,,,,,,,,,,,,,11,3.98,1.34,169,0,162
543, Ismael Mena,SD,NL, OF,Batter,17.4,Signed for $2.2 million; Mena is a lean 63ù; 185 pounds with a line drive approach; developing power; and double plus speed.,2025,,,,,,,,,,,,,,81,18,74,0.271,0.337,0.44,25,,,,,,
544,Alexander Mojica,PIT,NL, 3B,Batter,17.8,Was one of the best hitters in the Dominican Summer League as a 16 year old; slashing .351/.468/.580 with 8 homers and a 34/37 K/BB in 55 games. Has a patient approach with plus raw power.,2024,,,,,,,,,,,,,,79,24,84,0.266,0.34,0.462,3,,,,,,
545, Arol Vera,LAA,AL, SS,Batter,17.7,Signed for $2 million; the 63ù; 187 pound Vera is an advanced hitter who has the chance to grow into plus power.,2025,,,,,,,,,,,,,,78,23,81,0.277,0.343,0.456,6,,,,,,
546,Keoni Cavaco,MIN,NL, SS,Batter,18.1,Drafted 13th overall. High risk; high reward prospect with a plus power/combo but is a major hit tool risk (35/4 K/BB in 25 game pro debut).,2024,,,,,,,,,,,,,,71,25,76,0.241,0.298,0.449,14,,,,,,
547,Quinn Priester,PIT,NL, RHP,Pitcher,19.7,Drafted 18th overall; Priester throws a 4 pitch mix headlined by two potentially plus fastballs (4 and 2 seamer) and a plus curve. Pro debut was impressive with a pitching line of 3.03/1.19/37/10 in 32.2 IP in the Gulf Coast League.,2023,,,,,,,,,,,,,,,,,,,,,12,3.69,1.24,191,0,185
548,Ethan Small,MIL,NL, LHP,Pitcher,23.2,Drafted 28th overall; Small doesnt have big stuff but he racks up strikeouts with deception and plus command. Struck out 168 batters in 102 IP in the SEC and then came into pro ball and did the same thing with a 36/4 K/BB in 21 IP at mostly Full-A.,2021,,,,,,,,,,,,,,,,,,,,,12,3.9,1.26,182,0,171
549,Zack Thompson,STL,NL, LHP,Pitcher,22.5,Drafted 19th overall; Thompson throws a 4 pitch mix headlined by a plus curveball. He has some injury red flags and needs to improve his command.,2022,,,,,,,,,,,,,,,,,,,,,11,3.93,1.32,171,0,164
550,Brennan Malone,PIT,NL, RHP,Pitcher,19.7,Drafted 33rd overall; Malone is a power pitcher who throws a 4 pitch mix headlined by a potentially plus fastball/slider combo.,2023,,,,,,,,,,,,,,,,,,,,,13,3.83,1.26,187,0,178
551,Brad Keller,KC,AL, RHP,Pitcher,24.8,Groundball pitcher with weak K/BB rates (122/70 in 165.1 IP).,,,,,,,,,9,4.27,1.34,130,0,170,,,,,,,,,,,,,
552,Jakob Junis,KC,AL, RHP,Pitcher,27.6,8th most valuable slider in baseball but that is his only good pitch.,,,,,,,,,9,4.42,1.33,169,0,179,,,,,,,,,,,,,
553,Jon Lester,CHC,NL, LHP,Pitcher,36.3,Velocity decline continued to a career low 90.8 MPH.,,,,,,,,,12,4.33,1.36,159,0,168,,,,,,,,,,,,,
554,Jake Arrieta,PHI,NL, RHP,Pitcher,34.1,The decline continues with his ERA rising for the 4th year in a row to 4.64 and his K% declining for the 5th year in a row to 18.5%.,,,,,,,,,9,4.53,1.39,136,0,162,,,,,,,,,,,,,
555,Starlin Castro,WAS,NL, 2B/3B,Batter,30,Raised launch angle to a career high 10.9 degrees and hit a career high 22 homers. Huge second half; slashing .302/.334/.558 with 16 homers in 74 games.,,67,18,73,0.277,0.32,0.442,3,,,,,,,,,,,,,,,,,,,
556,Freddy Galvis,CIN,NL, 2B/SS,Batter,30.5,Exit velocity ticked up the past two seasons to a now career high 88.2 MPH; which led to a career high 23 homers.,,65,21,71,0.253,0.297,0.425,5,,,,,,,,,,,,,,,,,,,
557,Ji-Man Choi,TB,AL, 1B,Batter,28.11,Strong side of a platoon at best; and losing his job toNate Loweat some point during the season at worst.,,58,18,69,0.265,0.365,0.463,2,,,,,,,,,,,,,,,,,,,
558,Ender Inciarte,ATL,NL, OF,Batter,29.5,Lumbar and hamstring strains limited him to 65 games. Speed fell off from from a well above average 27.9 ft/sec to a slightly below average 26.8. Ranked third to last in FB/LD exit velocity (86.1 MPH).,,67,9,53,0.262,0.338,0.395,15,,,,,,,,,,,,,,,,,,,
559,Kolby Allard,TEX,AL, LHP,Pitcher,22.8,Fastball velocity ticked up to a respectable 92.5 MPH and added a cutter that he threw 33.2% of the time. Should be next man up or close to it when injuries inevitably hit.,JUNE,,,,,,,,6,4.42,1.38,86,0,100,,,,,,,,12,3.88,1.32,165,0,174
560,Vince Velasquez,PHI,NL, RHP,Pitcher,27.1,The high strikeout rate and 94.5 MPH fastball makes for enticing upside; but 2019 was the third year in a row he had an ERA 4.85 or higher.,,,,,,,,,8,4.57,1.34,148,0,130,,,,,,,,,,,,,
561,Wade Davis,COL,NL, CL,Reliever,34.7,Favorite to win back Colorados closer job with even a decent Spring performance. Fastball was down 1.1 MPH to 93.3 MPH and had a 8.83 ERA.,,,,,,,,,3,4.42,1.38,51,18,51,,,,,,,,,,,,,
562,Jeremiah Jackson,LAA,AL, SS,Batter,20,33% K% as a 19 year old in rookie ball; which means the risk is sky high; but he also smacked a ridiculous 23 homers in 65 games.,2023,,,,,,,,,,,,,,74,27,81,0.241,0.319,0.451,10,,,,,,
563,Evan Longoria,SF,NL, 3B,Batter,34.6,Mini bounceback season but still only hit like a league average hitter with a .254 BA and 20 homers in 129 games.,,64,22,75,0.25,0.32,0.432,2,,,,,,,,,,,,,,,,,,,
564,Scott Oberg,COL,NL, SU,Reliever,30.1,Colorado wants Wade Davis to win back the closer job; but if he cant bounce back; Oberg is ready to go after putting up a 2.45 ERA in 2018 and 2.25 ERA in 2019. Pitched slightly better at Coors than on the road.,,,,,,,,,4,3.51,1.16,62,21,61,,,,,,,,,,,,,
565,Emmanuel Clase,CLE,AL, SU,Reliever,22,99.4 MPH fastball and 90.6 MPH slider is super impressive; although his strikeout rates havent popped as much as you would think (8.10 K/9 in MLB and 9.32 at Double-A).Update:Expected to be out until late May at the earliest with an upper back strain.,,,,,,,,,2,3.72,1.2,61,0,40,,,,,,,,,,,,,
566,Jason Heyward,CHC,NL, OF,Batter,30.8,21 homers in 2019; which is only the 2nd time he has eclipsed the 20 homer mark in his career.,,73,16,60,0.258,0.333,0.415,6,,,,,,,,,,,,,,,,,,,
567,Brandon Belt,SF,NL, 1B,Batter,32,Hits the ball in the air (21.9 degree launch) but hits it too weakly to take advantage of it with a 86.4 MPH exit velocity.,,75,19,66,0.248,0.349,0.45,3,,,,,,,,,,,,,,,,,,,
568,Asdrubal Cabrera,WAS,NL, 2B/3B,Batter,34.5,The upside is capped; but you can do worse than 20 homers with a solid average at the point Cabrera is going in drafts.Carter Kieboomis lurking; so Cabrera andStarlin Castromight be in a competition to keep their full time job early in the season.,,65,19,76,0.263,0.33,0.448,2,,,,,,,,,,,,,,,,,,,
569,Nick Ahmed,ARI,NL, SS,Batter,30,Serviceable in deeper leagues; but in general I prefer to take shots on higher upside players rather than take safe; mediocre production.,,75,17,78,0.25,0.308,0.429,8,,,,,,,,,,,,,,,,,,,
570,Jose Martinez,TB,AL, OF,Batter,31.8,Playing time outlook doesnt look all that much different in Tampa than it did in St. Louis.,,56,14,58,0.281,0.35,0.455,2,,,,,,,,,,,,,,,,,,,
571,Chris Taylor,LAD,NL, 2B/SS/OF,Batter,29.7,Taylor ended up being the odd man out and slid into a super utility role.,,58,14,56,0.26,0.33,0.46,10,,,,,,,,,,,,,,,,,,,
572,Wilmer Flores,SF,NL, 2B,Batter,28.8,Hits it in the air with elite strikeout rates and below average exit velocity.,,51,16,46,0.278,0.334,0.468,0,,,,,,,,,,,,,,,,,,,
573,Zach Plesac,CLE,AL, RHP,Pitcher,25.2,Strong 3.81 ERA in 115.2 IP MLB debut; but a 88/40 K/BB; 4.94 FIP; and 89.1 MPH exit velocity against are all signs it was a bit of a mirage.,,,,,,,,,8,4.44,1.35,111,0,135,,,,,,,,,,,,,
574,Jake Bauers,CLE,AL, OF/1B,Batter,24.6,Needs to start hitting the ball harder and/or bring down his 27.2% K% if he wants to hold down a starting job.,,56,14,53,0.253,0.339,0.412,5,,,,,,,,,,,,,,,,,,,
575,Jordan Luplow,CLE,AL, OF,Batter,26.6,Exit velocity skyrocketed 3.7 MPH to 89.3 MPH while maintaining a strong launch angle and plate approach. It led to a breakout season in a part time role; slashing .276/.372/.551 with 15 homers and a 61/33 K/BB in 225 at-bats. Struggles vs. righties will likely keep him in a short side of a platoon.,,52,13,46,0.263,0.344,0.47,4,,,,,,,,,,,,,,,,,,,
576,Steven Souza Jr.,CHC,NL, OF,Batter,30.11,Missed all of 2019 after tearing multiple ligaments in his knee in late March; but is expected to be fully healthy for opening day. It gives me some reservations on how many stolen bases we can expect from as he enters his 30s coming off a major knee injury.,,51,17,54,0.235,0.326,0.428,5,,,,,,,,,,,,,,,,,,,
577,Jake Lamb,ARI,NL, 1B/3B,Batter,29.6,Underlying power numbers were strong coming off 2018 shoulder surgery (90.4 MPH exit velocity); but the surface stats were not (.676 OPS).,,51,14,57,0.232,0.324,0.442,1,,,,,,,,,,,,,,,,,,,
578,Derek Fisher,TOR,AL, OF,Batter,26.8,Plus power/speed combo but the strikeout rate is high (34.1%) and launch angle is low (8.4 degrees). Likely in the strong side of a platoon role.,,55,15,51,0.228,0.319,0.424,9,,,,,,,,,,,,,,,,,,,
579,Orlando Arcia,MIL,NL, SS,Batter,25.8,Arcias starting job is on the hot seat with the acquisition ofLuis Urias; and for good reason coming off another terrible offensive performance (61 wRC+).,,43,11,47,0.253,0.301,0.388,5,,,,,,,,,,,,,,,,,,,
580,David Bote,CHC,NL, 2B/3B,Batter,27,No guarantee of full time at-bats; but Bote hits the ball hard with a little speed and high a OBP.,,64,15,57,0.252,0.343,0.43,8,,,,,,,,,,,,,,,,,,,
581,Josh Naylor,SD,NL, OF,Batter,22.1,Hits it hard with a good feel for contact; but needs to start lifting the ball more (4.5 degree launch angle).,,31,9,34,0.262,0.325,0.423,1,,,,,,,68,21,77,0.278,0.336,0.453,2,,,,,,
582,Lewis Brinson,MIA,NL, OF,Batter,25.11,Continued his extreme major league struggles with a .173 BA and 0 homers in 248 PA. He also struck out 29.5% of the time at Triple-A; which is a much higher percentage than he has struck out at that level previously.,,46,8,51,0.208,0.27,0.351,5,,,,,,,,,,,,,,,,,,,
583,Mitch Moreland,FA,, 1B,Batter,34.7,90.8 MPH average exit velocity and 95.8 MPH FB/LD exit velocity with a solid plate approach. Likely the strong side of a platoon.,,53,18,63,0.247,0.323,0.458,1,,,,,,,,,,,,,,,,,,,
584,Raimel Tapia,COL,NL, OF,Batter,26.2,I used to love Tapia; but power never took a step forward and hit tool has not fully transferred to the majors. Hes likely a part time player.,,48,8,39,0.281,0.316,0.427,9,,,,,,,,,,,,,,,,,,,
585,Ty France,SD,NL, 2B/3B,Batter,25.9,Slashed .399/.477/.770 with 27 homers and a 51/30 K/BB in 76 games in the PCL; but put up only a .696 OPS in 184 MLB at-bats. Best shot at playing time is to hope Profar struggles again.,,31,10,36,0.255,0.317,0.443,1,,,,,,,64,23,72,0.268,0.331,0.463,3,,,,,,
586,Dominic Smith,NYM,NL, 1B/OF,Batter,24.1,In an alternative universe wherePete Alonsodoesnt exist; 2020 would have been Smiths coming out party; but we live in this universe and Smith will need a trade to have a chance at everyday playing time.,,45,13,49,0.268,0.325,0.443,1,,,,,,,69,22,78,0.276,0.338,0.467,2,,,,,,
587,Mychal Givens,BAL,AL, CL CM,Reliever,29.11,Throws his plus 95.7 MPH fastball 70.2% of the time but his change and slider are both average.,,,,,,,,,3,3.77,1.18,75,14,65,,,,,,,,,,,,,
588,Hunter Harvey,BAL,AL, CL CM,Reliever,25.5,Found a home in the bullpen where he let his 98.4 MPH fastball fly. Favorite to be Baltimores long term closer if he can remain healthy.,,,,,,,,,3,3.83,1.31,66,12,60,,,,,,,,,,,,,
589,Braden Shewmake,ATL,NL, SS,Batter,22.4,Drafted 21st overall; Shewmakes plus contact skills and plus speed transferred to pro ball with a 12.8% K% and 11 steals in 51 games at Full-A. Seems to be on the fast track with Atlanta promoting him to Double-A for 14 games at the end of the season.,2021,,,,,,,,,,,,,,79,16,74,0.278,0.336,0.428,18,,,,,,
590,Travis Swaggerty,PIT,NL, OF,Batter,22.9,Had an underwhelming year at High-A with a 49.3% GB%; 22.1% K% and 9 homers. Either his contact ability or power will have to take a step forward to become an everyday player.,2021,,,,,,,,,,,,,,78,17,71,0.269,0.334,0.422,18,,,,,,
591,Ryan Vilade,COL,NL, SS,Batter,21.1,Made adjustments to unlock more of his plus raw power; lowering GB% 10% to 42.9% and hitting 12 homers in 128 games at High-A. He did so while maintaining his strong plate approach (16.2% K%/9.5% BB%),2022,,,,,,,,,,,,,,81,23,82,0.276,0.34,0.463,8,,,,,,
592,Dexter Fowler,STL,NL, OF,Batter,34,Bounced back from his disastrous 2018; but exit velocity did not bounce back with a dangerously low at 85.2 MPH.,,67,17,64,0.241,0.334,0.403,6,,,,,,,,,,,,,,,,,,,
593,Eric Sogard,MIL,NL, 2B,Batter,33.1,At-bats are open to be won at 3B withMike Moustakasmoving on. Strong strikeout rate (14.3%) with the ability to lift the ball (18.3 degree launch angle) but doesnt hit the ball very hard (84.7 MPH).,,65,11,51,0.272,0.335,0.409,5,,,,,,,,,,,,,,,,,,,
594,Chad Pinder,OAK,AL, 2B/OF,Batter,28,Darkhorse candidate to win at least a share of the starting 2B job. Exit velocities are in the near elite range with a 90.5 MPH average and 95.8 MPH on flyballs and line drives.,,49,15,54,0.249,0.309,0.43,0,,,,,,,,,,,,,,,,,,,
595,Brandon Kintzler,MIA,NL, CL,Reliever,35.8,Low upside closer. This is the guy you take if you are desperate for saves towards the end of the draft.,,,,,,,,,3,3.68,1.27,48,24,60,,,,,,,,,,,,,
596,Jairo Pomares,SF,NL, OF,Batter,19.8,90 MPH average exit velocity as an 18 year old is impressive; and so was his pro debut in rookie ball; slashing .368/.401/.542 with 3 homers; 5 steals; and a 26/10 K/BB in 37 games. He doesnt project for huge home run or stolen base totals; but he has a chance to be solid 5 category player.,2023,,,,,,,,,,,,,,82,22,79,0.273,0.334,0.448,10,,,,,,
597,Will Wilson,SF,NL, SS,Batter,21.8,Drafted 15th overall; Wilson is a solid all around hitter without big time power or speed.,2022,,,,,,,,,,,,,,72,22,77,0.264,0.328,0.439,5,,,,,,
598,Jhoan Duran,MIN,NL, RHP,Pitcher,22.3,Fastball can reach triple digits and throws a plus low 90s sinker/splitter hybrid.,2021,,,,,,,,,,,,,,,,,,,,,12,3.82,1.32,181,0,177
599,Kris Bubic,KC,AL, LHP,Pitcher,22.8,Led the minor leagues in strikeouts with 185 Ks in 149.1 IP at Full-A and High-A. Plus changeup with low 90s heat and an average curveball.,2021,,,,,,,,,,,,,,,,,,,,,11,3.89,1.28,179,0,171
600,Brady Singer,KC,AL, RHP,Pitcher,23.9,Groundball pitcher with a plus sinker/slider combo; but needs to improve his changeup to take the next step.,,,,,,,,,2,4.35,1.36,36,0,40,,,,,,,,11,3.89,1.29,175,0,185
601,JJ Goss,TB,AL, RHP,Pitcher,19.3,Drafted 36th overall; Goss throws a low 90s fastball with a swing and miss slider and good feel for a changeup. He throws strikes and the fastball should tick up as he fills out.,2023,,,,,,,,,,,,,,,,,,,,,12,3.81,1.24,173,0,171
602,Brian Dozier,FA,, 2B,Batter,32.11,Partially bounced back from a down 2018; slashing .238/.340/.430 with 20 homers; 3 steals; and a 105/61 K/BB in 482 PA. The speed isnt coming back and playing time is a concern.,,59,19,56,0.243,0.335,0.448,3,,,,,,,,,,,,,,,,,,,
603,Hunter Pence,SF,NL, OF,Batter,37,Big time bounce back season; slashing .297/.358/.552 with 18 homers; 6 steals; and a 69/26 K/BB in 83 games. The Statcast data backs it up too.,,61,17,67,0.266,0.323,0.45,5,,,,,,,,,,,,,,,,,,,
604,Tyler Mahle,CIN,NL, RHP,Pitcher,25.6,Replaced his changeup and slider with a curveball; cutter; and splitter. Dropped his BB% 4.4%; but the poor results remained the same with a 5.14 ERA. The new splitter was his best pitch with a .229 xwOBA.,,,,,,,,,4,4.43,1.32,91,0,90,,,,,,,,,,,,,
605,Freddy Peralta,MIL,NL, SU,Reliever,23.1,Fastball velocity jumped 2.7 MPH to 94.1 MPH and continued piling up Ks; but hitters crushed him with a 17.4 degree launch angle and 94.5 MPH FB/LD exit velocity against.,,,,,,,,,6,4.02,1.28,128,0,95,,,,,,,,,,,,,
606,Jon Duplantier,ARI,NL, RHP,Pitcher,25.9,Bicep tendinitis in 2018 and shoulder inflammation in 2019. Stuff didnt look as good this year as it has in the past.,,,,,,,,,3,4.34,1.38,63,0,59,,,,,,,,9,4.18,1.33,161,0,155
607,Marwin Gonzalez,MIN,NL, 1B/3B/OF,Batter,31.1,Exit velocity jumped 3 MPH to a career high 90.4 MPH; although it didnt show up in his stats. Donaldson signing keeps him in a part time role.,,54,16,59,0.271,0.33,0.449,2,,,,,,,,,,,,,,,,,,,
608,Victor Reyes,DET,AL, OF,Batter,25.6,Good feel to hit with plus speed; and at 65ù; 215 pounds; you have to think there is more power in there. Cameron Maybin signing puts a major dent in his expected playing time.,,53,7,48,0.276,0.31,0.398,13,,,,,,,,,,,,,,,,,,,
609,Jake Cronenworth,TB,AL, SS,Batter,26.2,Power took a step forward; hitting 10 homers in 88 games (previous career high was 4); which he combined with his already good feel to hit and above average speed. Projects as a jack of all trades type (he even pitches a little bit too!).,,23,3,16,0.257,0.322,0.402,5,,,,,,,62,13,48,0.268,0.332,0.427,14,,,,,,
610,Estevan Florial,NYY,AL, OF,Batter,22.6,Struggles at High-A continued for the second year in a row; slashing .237/.297/.383 with 8 homers; 9 steals; and a 98/24 K/BB in 74 games. He did suffer a wrist injury during Spring Training; and the elite tools are still there; so I wouldnt write him off quite yet.,2021,,,,,,,,,,,,,,78,21,73,0.244,0.325,0.438,15,,,,,,
611,Jahmai Jones,LAA,AL, 2B,Batter,22.8,Played well in the Fall League; slashing .302/.377/.509 with 2 homers; 7 steals; and a 16/6 K/BB in 16 games. Didnt look as good at Double-A with a .234 BA; 5 homers and 9 steals in 130 games; but at least his plate approach numbers were still strong (20% K% and 9.2 BB%).,2021,,,,,,,,,,,,,,79,18,71,0.268,0.327,0.429,12,,,,,,
612,Ryne Stanek,MIA,NL, SU,Reliever,28.8,Kintzler is the favorite for saves; but Stanek could have the job by the end of the season with a 97.8 MPH fastball and high strikeout rates.,,,,,,,,,2,3.67,1.2,77,18,65,,,,,,,,,,,,,
613,Mark Vientos,NYM,NL, 3B,Batter,20.4,Underwhelming full season debut; slashing .255/.300/.411 with 12 homers and a 110/22 K/BB. Big time power potential is still there.,2023,,,,,,,,,,,,,,73,25,82,0.258,0.327,0.462,2,,,,,,
614,Kevin Alcantara,NYY,AL, OF,Batter,17.9,Huge raw talent at 66ù; 188 pounds with a plus power/speed combo; but a .665 OPS in his pro debut shows there is a long way to go.,2024,,,,,,,,,,,,,,77,24,81,0.271,0.336,0.468,15,,,,,,
615,Tyler Beede,SF,NL, RHP,Pitcher,26.1,Doesnt have bad stuff; throwing a 94.4 MPH fastball with 3 secondaries; but lack of command got him hit up in the majors with a 5.03 ERA and 90.8 MPH exit velocity against in 117 IP.,,,,,,,,,7,4.38,1.37,128,0,130,,,,,,,,,,,,,
616,Anibal Sanchez,ATL,NL, RHP,Pitcher,36.1,Landed somewhere in the middle of his excellent 2018 production and terrible 2015-17 production with a pitching line of 3.85/1.27/134/58 in 166 IP.,,,,,,,,,10,4.22,1.31,132,0,160,,,,,,,,,,,,,
617,Mike Fiers,OAK,AL, RHP,Pitcher,34.1,The Whistleblower. Second year in a row his ERA beat his FIP by about a full run. Strikeout rate is low and exit velocity against is about average.,,,,,,,,,11,4.32,1.3,126,0,170,,,,,,,,,,,,,
618,Drew Smyly,SF,NL, LHP,Pitcher,30.1,Took some time to shake the rust off after missing all of 2017 and 2018 recovering fromTommy Johnsurgery. Fastball velocity and performance both ticked up in the 2nd half.,,,,,,,,,8,4.31,1.33,135,0,138,,,,,,,,,,,,,
619,Daniel Norris,DET,AL, LHP,Pitcher,27,Change and slider both took a step forward to become quality pitches. Hit a career high 144.1 IP with a 4.49 ERA and 7.8 K/9.,,,,,,,,,6,4.31,1.34,115,0,130,,,,,,,,,,,,,
620,Zach Davies,SD,NL, RHP,Pitcher,27.2,Gets a ballpark upgrade going from Milwaukee to San Diego. Low velocity (88.6 MPH sinker) and low strikeout (5.7 K/9) pitcher who is heavily reliant on BABIP and LOB%.,,,,,,,,,10,4.29,1.33,110,0,160,,,,,,,,,,,,,
621,Jordan Montgomery,NYY,AL, LHP,Pitcher,27.4,Tommy John surgery knocked out most of his 2019; but his stuff was back over 4 IP in September. With Paxton out and German suspended; Montgomery is the favorite to open the season in the rotation.,,,,,,,,,7,4.23,1.32,112,0,120,,,,,,,,,,,,,
622,Mike Leake,ARI,NL, RHP,Pitcher,32.5,Back of the rotation innings eater.Update:Fractured his left wrist while chasing his dog. Expected to miss at least a few weeks.,,,,,,,,,9,4.3,1.33,96,0,165,,,,,,,,,,,,,
623,Alexander Vargas,NYY,AL, SS,Batter,18.5,Plus contact ability (12.7% K%) with plus speed (13 steals) and should start hitting the ball with more authority as he gets stronger.,2024,,,,,,,,,,,,,,86,15,68,0.276,0.341,0.412,25,,,,,,
624,Rece Hinds,CIN,NL, 3B,Batter,19.7,Drafted 49th overall; Hinds has at least double plus power; but is very raw at the plate with lots of swing and miss.,2024,,,,,,,,,,,,,,68,29,77,0.242,0.314,0.478,2,,,,,,
625,Tyler Callihan,CIN,NL, 2B/3B,Batter,19.9,Drafted 85th overall; Callihan has plus power with an aggressive approach at the plate.,2023,,,,,,,,,,,,,,72,25,82,0.273,0.331,0.471,6,,,,,,
626,Ryan Pressly,HOU,AL, SU,Reliever,31.4,Backed up his 2018 breakout with another elite season. Induces weak contact and piles up Ks.,,,,,,,,,3,3.15,1.06,92,4,65,,,,,,,,,,,,,
627,Seth Lugo,NYM,NL, SU,Reliever,30.5,Dominates with a high spin rate curveball; plus a fastball and sinker that rank among the best in baseball with a 20.2 combined value; which is good for 7th overall.,,,,,,,,,5,3.31,1.09,92,5,75,,,,,,,,,,,,,
628,Ty Buttrey,LAA,AL, SU,Reliever,27,Next man up for the Angels. Throws a 97.4 MPH fastball with a plus slider.,,,,,,,,,4,3.61,1.25,81,5,69,,,,,,,,,,,,,
629,Matt Barnes,BOS,AL, SU,Reliever,29.1,The closer job was his to lose in 2019 and he lost it toBrandon Workman. The situation could just as easily reverse itself in 2020.,,,,,,,,,5,3.71,1.31,99,9,65,,,,,,,,,,,,,
630,Cristian Javier,HOU,AL, RHP,Pitcher,23,Breezed through 3 levels of the minors (A+; AA; AAA); piling up 170 strikeouts with a 1.74 ERA in 113.2 IP. He doesnt have overpowering stuff; but dominates with a diverse pitch mix and high spin rate fastball.,,,,,,,,,4,4.28,1.34,65,0,60,,,,,,,,11,3.83,1.31,182,0,168
631,Colin Moran,PIT,NL, 3B,Batter,27.6,Platoon bat at best and hasKeBryan Hayesknocking on the door for the full time 3B job.,,52,14,64,0.271,0.331,0.425,0,,,,,,,,,,,,,,,,,,,
632,Joe Palumbo,TEX,AL, LHP,Pitcher,25.5,Throws a high spin rate fastball with a plus curve and developing changeup. 9.18 ERA in 16.2 IP MLB debut is too small a sample to worry about.,,,,,,,,,4,4.24,1.35,76,0,68,,,,,,,,11,3.81,1.31,183,0,171
633,Braxton Garrett,MIA,NL, LHP,Pitcher,22.8,Doesnt have overpowering stuff; but throws two quality secondaries (curve; change) and has good command.,2021,,,,,,,,,,,,,,,,,,,,,10,3.92,1.3,163,0,168
634,Thomas Szapucki,NYM,NL, LHP,Pitcher,23.1,Returned from Tommy John surgery after missing all of 2018 and proved his plus fastball/curve combo is still intact with 72 strikeouts in 61.2 IP at mostly High-A. There is bullpen risk considering his spotty health track record.,2021,,,,,,,,,,,,,,,,,,,,,9,3.83,1.27,158,0,150
635,Lane Thomas,STL,NL, OF,Batter,24.8,Not one of the favorites to win a starting job in St. Louis wide open OF; but he has the skills to earn that job over time with a 29.6 ft/sec sprint speed; 91.7 MPH average exit velocity and a 97.6 MPH FB/LD exit velocity in his 44 PA MLB debut.,,42,12,45,0.256,0.326,0.437,6,,,,,,,77,24,79,0.269,0.338,0.469,12,,,,,,
636,Bobby Bradley,CLE,AL, 1B,Batter,23.1,Huge power with 33 homers in 107 games at Triple-A; but strikeout rate has regressed against more advanced competition with a 33.8% K%.,AUG,10,4,13,0.235,0.308,0.431,0,,,,,,,73,26,81,0.247,0.329,0.481,0,,,,,,
637,Michel Baez,SD,NL,RHP,Pitcher,24.2,Moved to the pen and let it fly with a 96.1 MPH fastball and a plus changeup; but San Diego is committed to developing him as a starter.,,,,,,,,,2,3.95,1.31,52,0,48,,,,,,,,6,3.77,1.28,121,0,114
638,Kevin Padlo,TB,AL, 3B,Batter,23.9,Breakout year at Double-A and Triple-A; slashing .265/.389/.538 with 21 homers; 12 steals and a 116/68 K/BB in 110 games. Hes going to have to hack and claw his way to get through Tampas extreme depth.,SEPT,8,2,6,0.225,0.308,0.424,1,,,,,,,68,20,64,0.248,0.339,0.447,6,,,,,,
